AFFGEOID,DNAME11
1500000US517402124003, 33
1500000US516789305006, 16
1500000US511210206002, 21
1500000US510594713032, 64
1500000US510594323002, 85
1500000US510950801013, 46
1500000US517402124001, 33
1500000US510594223021, 88
1500000US510594825043, 86
1500000US517100025001, 34
1500000US510594804021, 56
1500000US517600608001, 77
1500000US517600701002, 76
1500000US511790104041, 79
1500000US515900006002, 25
1500000US516500101034, 27
1500000US516500103132, 42
1500000US517600501002, 76
1500000US510594923002, 92
1500000US518000757021, 45
1500000US510594154022, 89
1500000US510872004071, 74
1500000US510594507021, 95
1500000US510594525021, 93
1500000US515102006005, 93
1500000US510594306003, 95
1500000US510594917041, 86
1500000US510594407023, 95
1500000US517600706021, 77
1500000US518000655003, 45
1500000US515102007021, 98
1500000US510594211034, 88
1500000US511990503043, 36
1500000US516600002051, 22
1500000US510594713031, 64
1500000US518400002012, 91
1500000US510594314001, 92
1500000US511199510002, 46
1500000US511076118033, 51
1500000US511210204001, 21
1500000US516859201002, 81
1500000US510872001231, 68
1500000US518100416003, 43
1500000US510131014032, 31
1500000US517600502002, 76
1500000US510594310012, 85
1500000US510594825015, 52
1500000US517100059011, 24
1500000US517100004002, 24
1500000US518100430042, 23
1500000US516600004022, 22
1500000US510131029021, 100
1500000US511539012252, 96
1500000US517100013001, 34
1500000US510872001121, 68
1500000US517000322242, 44
1500000US510594155002, 89
1500000US517100065012, 24
1500000US517100057013, 34
1500000US515102018022, 98
